Date,ktp,gqg,eae,gtech,gnph,gcore,plus,cash,kfa,ugi,healthcare,prop,sp500
2024-11-21,5.9842,21.5655,6.7146,16.363,15.2523,15.2669,14.7979,9.9996,11.8575,9.6978,15.4095,10.2562,31.9213
2024-11-22,6.0296,21.6446,6.7174,16.4168,15.3015,15.3859,14.8004,10.0006,11.8596,9.6932,15.551,10.313,32.0226
2024-11-25,5.8733,21.677,6.7831,16.3678,15.3484,15.481,14.8034,10.0021,11.867,9.7561,15.6617,10.4339,32.1232
2024-11-26,5.8329,21.7734,6.7603,16.4002,15.3568,15.4708,14.8048,10.0025,11.8723,9.7909,15.7904,10.4678,32.3171
2024-11-27,5.8669,21.7158,6.7837,16.1535,15.3158,15.4922,14.8064,10.0032,11.8812,9.754,15.8542,10.5476,32.2075
2024-12-02,5.8334,21.8419,6.6551,16.488,15.5212,15.5736,14.8113,10.0046,11.9032,9.7612,15.7444,10.3602,32.4505
2024-12-03,5.8851,21.9162,6.692,16.6998,15.5703,15.619,14.8123,10.005,11.9154,9.7249,15.6872,10.3077,32.4423
2024-12-09,5.8429,21.8098,6.8407,16.8629,15.6935,15.7675,14.8174,10.0079,11.919,9.6106,15.4744,10.2559,32.4241
2024-12-11,5.9784,21.9085,6.7283,16.9407,15.7685,15.6911,14.8186,10.0086,11.9176,9.6044,15.2893,10.1075,32.5592
2024-12-12,5.8328,21.8573,6.7874,16.9169,15.6612,15.6703,14.8198,10.009,11.9165,9.5758,15.0638,10.0785,32.3902
2024-12-13,5.7559,21.8387,6.7437,17.1091,15.701,15.649,14.8202,10.0095,11.9171,9.6284,15.0015,10.0747,32.3861
2024-12-16,5.6573,21.9317,6.6773,17.3796,15.8025,15.6417,14.8231,10.0109,11.9181,9.6161,15.0104,10.0199,32.5042
2024-12-17,5.6385,21.7824,6.612,17.1915,15.7662,15.5928,14.8246,10.0118,11.924,9.6652,15.0414,9.9887,32.3754
2024-12-18,5.4694,21.3409,6.6344,16.5344,15.2706,15.6041,14.8247,10.0115,11.9307,9.6201,14.6767,9.6333,31.4853
2024-12-19,5.4358,21.2405,6.4799,16.5124,15.2034,15.1919,14.8262,10.0126,11.928,9.6729,14.6066,9.5085,31.4368
2024-12-20,5.4538,21.3847,6.4328,16.6598,15.2245,15.0195,14.8273,10.0132,11.9283,9.6807,14.6309,9.6562,31.7602
2024-12-23,5.437,21.4811,6.508,16.8202,15.356,15.1934,14.8305,10.0156,11.9328,9.5646,14.7463,9.6809,31.9267
2024-12-30,5.349,21.3085,6.4589,16.5852,15.2044,15.0712,14.8385,10.0188,11.9283,9.573,14.541,9.6516,31.5495
2025-01-02,5.5965,21.2208,6.4145,16.5523,15.0927,15.1822,14.8414,10.0202,11.9326,9.629,14.6286,9.6126,31.3688
2025-01-03,5.6113,21.4057,6.4659,16.8779,15.2486,15.1344,14.8423,10.0208,11.9334,9.6912,14.7823,9.7368,31.7396
2025-01-06,5.5955,21.5504,6.5007,17.1974,15.3727,15.3935,14.8458,10.0229,11.927,9.7341,14.7746,9.6273,31.9442
2025-01-07,5.6305,21.4321,6.4889,16.8505,15.2208,15.3542,14.847,10.0241,11.9286,9.6839,14.8411,9.5725,31.5813
2025-01-08,5.7826,21.4672,6.4759,16.833,15.2271,15.1506,14.8472,10.0238,11.9279,9.7133,14.888,9.5471,31.6106
2025-01-10,5.8028,21.1573,6.3858,16.6068,15.0291,15.0262,14.8474,10.0247,11.9286,9.6557,14.6491,9.35,31.1395
2025-01-13,5.7576,21.0498,6.2402,16.4027,15.0035,14.8596,14.8497,10.0261,11.9224,9.691,14.7031,9.4135,31.1747
2025-01-14,5.811,21.1302,6.2977,16.4472,15.012,14.9929,14.8499,10.0264,11.916,9.6794,14.4895,9.4962,31.2174
2025-01-15,5.8852,21.4397,6.3229,16.7918,15.2523,15.2496,14.8503,10.0272,11.9147,9.7663,14.6655,9.5483,31.7669
2025-01-16,5.8288,21.487,6.4534,16.8301,15.3212,15.239,14.8512,10.0284,11.9161,9.7386,14.6385,9.67,31.7095
2025-01-17,5.8304,21.6189,6.4454,17.0581,15.4066,15.3414,14.8516,10.0282,11.9177,9.7044,14.5482,9.6613,31.9919
2025-01-21,5.8638,21.8424,6.4909,17.3109,15.6115,15.404,14.8546,10.0301,11.9197,9.6179,14.8059,9.8239,32.2303
2025-01-22,5.8864,21.9993,6.5238,17.6574,15.682,15.5851,14.8555,10.0309,11.927,9.547,14.792,9.6838,32.4067
2025-01-23,5.9236,22.1243,6.4997,17.6877,15.77,15.5546,14.8557,10.0312,11.9367,9.5914,14.9985,9.7101,32.5818
2025-01-24,5.9327,22.1634,6.5039,17.6011,15.8089,15.6519,14.8565,10.0317,11.9379,9.5063,15.017,9.7658,32.4702
2025-01-27,5.8439,21.7041,6.4527,16.3872,15.5514,15.3833,14.8587,10.0336,11.9476,9.5474,15.3491,9.8532,32.0136
2025-01-28,5.8844,21.964,6.4776,16.8939,15.6755,15.3865,14.8596,10.0341,11.9489,9.6235,15.3203,9.7572,32.2858
